파일명,평면1_평면도_편차,원1(I) <상>_D_편차,원2(I) <중>_D_편차,원3(I) <하>_D_편차,"원통1(I) <- 원1, 원2, 원3의 측정점 병합_D_편차","원통1(I) <- 원1, 원2, 원3의 측정점 병합_원통도_편차","원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도_편차",점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X_편차,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y_편차,각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang_편차,직선4 <27° 소재>_Y/X_편차,직선5 <7.5° 소재>_Y/X_편차,점3 <- 직선4와 직선5의 교차점 <소재>_X_편차,직선6 <35.9° 소재>_Y/X_편차,점4 <- 직선6와 직선5의 교차점 <소재>_X_편차,점4 <- 직선6와 직선5의 교차점 <소재>_Y_편차,직선7 <23.1°>_Y/X_편차,직선8 <6°>_Y/X_편차,점5 <- 직선8와 직선7의 교차점_X_편차,점5 <- 직선8와 직선7의 교차점_Y_편차,원4(E) <소재>_X_편차,원4(E) <소재>_Y_편차,원4(E) <소재>_D_편차,원4(E) <소재>_동심도_편차,점6 <- 직선9와 직선10의 교차점 <소재>_X_편차,점6 <- 직선9와 직선10의 교차점 <소재>_Y_편차,점7 <- 직선10와 직선11의 교차점 <소재>_X_편차,점7 <- 직선10와 직선11의 교차점 <소재>_Y_편차,점8 <- 직선13와 직선12의 교차점 <소재>_X_편차,직선14 <23.1° 소재>_Y/X_편차,직선16 <우상 소재>_X/Y_편차,직선18 <좌상 소재>_X/Y_편차,거리1 <- XAXIS[PT]:점9와 점10 <상>_DS_편차,점13 <- 점11와 점12의 중점 <열전관리_상>_X_편차,직선19 <좌하 소재>_X/Y_편차,직선21 <우하 소재>_X/Y_편차,거리2 <- XAXIS[PT]:점14와 점15 <하>_DS_편차,점18 <- 점16와 점17의 중점 <열전관리_하>_X_편차,점19 <상>_Y_편차,점20 <하>_Y_편차,원5(I) <상부>_Y_편차,원5(I) <상부>_D_편차,원6(I) <하부>_Y_편차,원6(I) <하부>_D_편차,거리3 <- XYPLAN[PT]:원5와 원통1_DS_편차,평면2_Z_편차,평면2_평면도_편차,평면2_평행도_편차,"평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z_편차","평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도_편차","평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도_편차",원7(E) <- 원4의 되부름_X_편차,원7(E) <- 원4의 되부름_Y_편차,원7(E) <- 원4의 되부름_D_편차,원7(E) <- 원4의 되부름_동심도_편차,점28 <- 점27의 되부름 <소재 원점>_X_편차,점28 <- 점27의 되부름 <소재 원점>_Y_편차,각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang_편차,점29 <- 점13의 되부름 <소재원점>_X_편차,점29 <- 점13의 되부름 <소재원점>_Y_편차,점30 <- 점18의 되부름 <소재원점>_X_편차,점30 <- 점18의 되부름 <소재원점>_Y_편차,직선25 <- 직선18의 되부름_X/Y_편차,직선26 <- 직선16의 되부름_X/Y_편차,거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS_편차,품질상태
240214_일상검사_야_초_2-4-1_NG,0,0.013,0.016,0.012,0.013,0,0,0.044,0.004,0.158,0.136,-0.061,-0.177,-0.295,-0.047,0.272,0.192,0.212,-0.105,0.125,-0.022,0.173,-0.414,0,0.039,0.135,0.093,0.126,-0.035,0.154,-0.04,-0.253,0.042,-0.023,-0.428,-0.513,0.036,-0.015,0.023,0.03,-0.027,0.015,0.003,0.013,0.059,0.32,0,0,0.564,0,0,-0.022,0.173,-0.414,0,0.104,0.01,0.028,0.069,0.074,0.077,0.095,-0.174,-0.119,0.042,0
240214_일상검사_야_초_2-6-1_NG,0,0.012,0.017,0.013,0.014,0,0,0.119,0.011,0.342,0.129,-0.017,-0.118,-0.232,0.01,0.285,0.168,0.194,-0.038,0.156,0.024,0.119,-0.42,0,0.059,0.105,0.151,0.089,0.037,0.118,-0.143,-0.192,0.037,0.043,-0.448,-0.495,0.018,0.057,0.026,-0.002,-0.068,0.002,-0.029,0.001,0.085,0.339,0,0,0.571,0,0,0.024,0.119,-0.42,0,0.101,0.009,-0.05,0.07,0.074,0.084,0.063,-0.134,-0.201,0.037,0
240215_일상검사_야_중_1-5-1_NG,0,-0.009,-0.004,-0.006,-0.006,0,0,0.046,0.004,0.187,0.203,-0.043,-0.202,-0.213,-0.055,0.278,0.16,0.189,-0.094,0.164,-0.024,0.116,-0.409,0,0.016,0.107,0.059,0.105,-0.034,0.099,0.164,-0.299,0.053,-0.024,-0.353,-0.433,0.028,-0.002,0.055,0.002,-0.038,0.04,-0.002,0.047,-0.041,0.294,0,0,0.496,0,0,-0.024,0.116,-0.409,0,0.077,0.007,-0.038,0.046,0.087,0.068,0.058,-0.241,0.107,0.053,0
240215_일상검사_야_중_2-4-1_NG,0,0.005,0.01,0.009,0.008,0,0,0.04,0.004,0.3,0.155,-0.035,-0.201,-0.212,-0.081,0.274,0.184,0.205,-0.102,0.134,-0.042,0.15,-0.433,0,0.014,0.112,0.048,0.108,-0.038,0.112,-0.152,-0.028,0.044,-0.021,-0.448,-0.434,0.026,-0.036,0.033,0.02,-0.03,0.018,-0.016,0.01,0.058,0.282,0,0,0.519,0,0,-0.042,0.15,-0.433,0,0.108,0.01,-0.056,0.08,0.069,0.065,0.072,0.043,-0.223,0.044,0
240215_일상검사_야_초_1-1-1_NG,0,-0.023,-0.022,-0.008,-0.018,0,0,0.068,0.006,0.102,0.208,0.008,-0.169,-0.161,-0.034,0.296,0.127,0.158,-0.071,0.197,-0.015,0.055,-0.41,0,0.017,0.068,0.121,0.069,-0.003,0.056,-0.647,-0.312,0.093,0.052,-0.213,-0.605,0.063,0.059,0.068,0.024,0.024,0.04,-0.045,-0.065,0.011,0.267,0,0,0.504,0,0,-0.015,0.055,-0.41,0,0.087,0.008,0.039,0.089,0.088,0.095,0.067,-0.289,-0.67,0.093,0
240215_일상검사_야_초_1-2-1_NG,0,-0.027,-0.024,-0.008,-0.02,0,0,0.06,0.006,0.199,0.171,-0.017,-0.168,-0.221,-0.052,0.276,0.177,0.19,-0.074,0.153,-0.032,0.121,-0.422,0,0.022,0.097,0.07,0.097,-0.015,0.093,0.039,-0.24,0.075,-0.002,-0.545,-0.693,0.039,0.017,0.042,0.017,0.003,0.047,0.018,0.042,-0.027,0.303,0,0,0.534,0,0,-0.032,0.121,-0.422,0,0.101,0.009,-0.076,0.077,0.073,0.096,0.059,-0.183,-0.019,0.075,0
240215_일상검사_야_초_1-3-1_NG,0,-0.031,-0.015,-0.032,-0.026,0,0,0.108,0.01,0.212,0.18,-0.019,-0.14,-0.203,-0.008,0.28,0.152,0.183,-0.05,0.161,0.023,0.113,-0.4,0,0.067,0.107,0.108,0.108,0.037,0.112,-0.116,-0.241,0.045,0.033,-0.377,-0.549,0.016,0.051,0.036,-0.014,-0.017,0.052,0.019,0.041,-0.018,0.237,0,0,0.479,0,0,0.023,0.113,-0.4,0,0.083,0.008,-0.055,0.059,0.085,0.076,0.055,-0.185,-0.172,0.045,0
240215_일상검사_야_초_1-4-1_NG,0,-0.025,-0.006,-0.028,-0.019,0,0,0.085,0.008,0.207,0.176,-0.029,-0.14,-0.181,-0.013,0.3,0.171,0.189,-0.053,0.173,0.018,0.105,-0.407,0,0.069,0.091,0.087,0.096,0.028,0.078,-0.516,-0.235,0.043,0.04,-0.417,-0.479,0.039,0.054,0.036,0.048,0.071,0.048,0.067,0.038,-0.012,0.256,0,0,0.397,0,0,0.018,0.105,-0.407,0,0.09,0.008,0.014,0.066,0.076,0.08,0.101,-0.186,-0.565,0.043,0
240215_일상검사_야_초_1-5-1_NG,0,-0.005,-0.006,-0.007,-0.006,0,0,0.03,0.003,0.111,0.207,-0.021,-0.197,-0.223,-0.058,0.287,0.151,0.184,-0.095,0.175,-0.033,0.096,-0.418,0,0.009,0.083,0.074,0.087,-0.03,0.08,-0.205,-0.239,0.056,-0.015,-0.454,-0.578,0.035,0.007,0.06,0.031,-0.009,0.048,0.012,0.053,-0.009,0.298,0,0,0.506,0,0,-0.033,0.096,-0.418,0,0.078,0.007,-0.002,0.055,0.082,0.077,0.069,-0.193,-0.25,0.056,0
240215_일상검사_야_초_1-6-1_NG,0,-0.007,-0.005,-0.008,-0.007,0,0,0.08,0.008,0.128,0.226,0.018,-0.156,-0.167,-0.024,0.3,0.11,0.155,-0.069,0.209,-0.004,0.04,-0.406,0,0.037,0.062,0.079,0.068,0.011,0.052,-0.133,-0.009,0.064,0.041,-0.39,-0.426,0.033,0.048,0.07,0.026,-0.017,0.052,0.003,0.05,0.009,0.243,0,0,0.472,0,0,-0.004,0.04,-0.406,0,0.078,0.007,-0.064,0.061,0.087,0.068,0.064,0.009,-0.151,0.064,0
240215_일상검사_야_초_2-4-1_NG,0,0.006,0.012,0.008,0.009,0,0,0.077,0.007,0.371,0.157,-0.052,-0.196,-0.219,-0.055,0.263,0.187,0.208,-0.096,0.126,-0.015,0.172,-0.405,0,0.031,0.149,0.053,0.148,-0.024,0.123,-0.148,-0.249,0.047,-0.021,-0.679,-0.383,0.009,-0.017,0.039,-0.033,0.011,0.009,0.054,0.002,-0.002,0.251,0,0,0.461,0,0,-0.015,0.172,-0.405,0,0.083,0.008,-0.041,0.064,0.096,0.068,0.05,-0.167,-0.23,0.047,0
240215_일상검사_야_초_2-6-1_NG,0,0.004,0.012,0.008,0.008,0,0,0.135,0.013,0.276,0.185,-0.021,-0.128,-0.214,0.011,0.278,0.162,0.192,-0.029,0.161,0.04,0.121,-0.404,0,0.09,0.12,0.127,0.112,0.052,0.074,-0.081,-0.316,0.048,0.045,0.19,-0.44,0.013,0.071,0.041,-0.049,-0.072,0.028,-0.02,0.003,0.063,0.271,0,0,0.508,0,0,0.04,0.121,-0.404,0,0.071,0.007,-0.091,0.058,0.101,0.085,0.04,-0.256,-0.141,0.048,0
240219_일상검사_야_초_1-1-1_NG,0,0.011,0.016,0.01,0.012,0,0,0.072,0.007,0.319,0.22,-0.008,-0.165,-0.201,-0.049,0.288,0.163,0.197,-0.097,0.17,-0.02,0.126,-0.38,0,0.023,0.128,0.076,0.124,-0.023,0.06,-0.181,-0.211,0.065,-0.007,-1.017,-0.486,0.035,-0.006,0.068,0.006,0.019,0.024,0.024,0.024,0.03,0.267,0,0,0.444,0,0,-0.02,0.126,-0.38,0,0.08,0.008,0.014,0.063,0.109,0.065,0.07,-0.152,-0.241,0.065,0
240219_일상검사_야_초_2-6-1_NG,0,0.008,0.012,0.009,0.01,0,0,0.127,0.012,0.25,0.164,-0.028,-0.135,-0.196,0.01,0.279,0.07,0.193,-0.085,0.151,0.032,0.118,-0.422,0,0.077,0.099,0.131,0.094,0.054,0.093,-0.202,-0.063,0.045,0.054,-0.477,-0.574,0.007,0.066,0.03,-0.03,-0.067,0.041,-0.039,0.043,0.107,0.358,0,0,0.597,0,0,0.032,0.118,-0.422,0,0.092,0.009,-0.094,0.073,0.085,0.085,0.049,-0.005,-0.261,0.045,0
240220_일상검사_야_초_1-3-1_NG,0,0.004,0.012,0.01,0.009,0,0,0.058,0.005,-0.003,0.17,-0.064,-0.182,-0.208,-0.067,0.259,0.196,0.232,-0.102,0.105,-0.026,0.21,-0.409,0,0.034,0.158,0.06,0.155,-0.028,0.218,-0.298,-0.332,0.043,-0.033,-0.509,-0.456,0.013,-0.026,0.021,-0.023,-0.009,0.016,0.022,0.014,-0.018,0.379,0,0,0.628,0,0,-0.026,0.21,-0.409,0,0.103,0.01,-0.056,0.078,0.089,0.084,0.065,-0.235,-0.395,0.043,0
240220_일상검사_야_초_1-5-1_NG,0,0.006,0.011,0.01,0.009,0,0,0.084,0.008,0.274,0.171,-0.028,-0.191,-0.101,-0.051,0.251,0.145,0.187,-0.088,0.134,-0.026,0.143,-0.424,0,0.027,0.123,0.086,0.121,-0.025,-0.032,-0.156,-0.3,0.051,-0.005,-0.657,-0.478,0.002,-0.012,0.044,-0.058,-0.009,0.016,0.045,0.011,-0.038,0.38,0,0,0.638,0,0,-0.026,0.143,-0.424,0,0.094,0.009,-0.096,0.079,0.089,0.071,0.017,-0.23,-0.226,0.051,0
240221_일상검사_야_중_2-4-1_NG,0,0.014,0.017,0.015,0.015,0,0,0.142,0.013,0.288,0.194,-0.037,-0.119,-0.222,0.019,0.276,0.157,0.219,-0.042,0.148,0.057,0.167,-0.372,0,0.094,0.16,0.146,0.154,0.055,0.072,-0.188,-0.172,0.047,0.049,-0.532,-0.559,0.009,0.053,0.033,-0.043,-0.04,0.019,-0.011,0.015,0.077,0.346,0,0,0.56,0,0,0.057,0.167,-0.372,0,0.086,0.008,0.099,0.065,0.109,0.069,0.063,-0.088,-0.271,0.047,0
240222_일상검사_야_초_1-5-1_NG,0,0.001,0.005,0.002,0.003,0,0,0.053,0.005,0.321,0.225,-0.032,-0.184,-0.192,-0.06,0.293,0.164,0.212,-0.112,0.163,-0.029,0.14,-0.385,0,0.026,0.127,0.068,0.128,-0.033,0.07,-0.142,-0.274,0.06,-0.017,-0.407,-0.623,0.044,-0.003,0.062,0.037,-0.008,0.027,0.002,0.022,-0.012,0.354,0,0,0.572,0,0,-0.029,0.14,-0.385,0,0.103,0.01,0.114,0.067,0.1,0.081,0.098,-0.21,-0.207,0.06,0
240222_일상검사_야_초_2-4-1_NG,0,0.007,0.012,0.012,0.01,0,0,0.115,0.011,0.408,0.153,-0.047,-0.137,-0.228,-0.011,0.279,0.178,0.213,-0.041,0.137,0.038,0.155,-0.411,0,0.086,0.124,0.117,0.119,0.052,0.119,-0.098,-0.302,0.033,0.028,-0.567,-0.561,0.012,0.044,0.019,-0.014,-0.019,0.02,0.005,0.016,0.05,0.327,0,0,0.541,0,0,0.038,0.155,-0.411,0,0.08,0.007,-0.074,0.057,0.084,0.073,0.068,-0.226,-0.174,0.033,0
240223_일상검사_야_초_1-4-1_NG,0,-0.001,0.003,0.001,0.001,0,0,0.123,0.012,0.131,0.195,-0.001,-0.108,-0.226,0.001,0.285,0.176,0.196,-0.026,0.154,0.046,0.128,-0.403,0,0.034,0.124,0.129,0.115,0.046,0.077,-0.368,-0.169,0.043,0.053,-0.45,-0.697,0.015,0.068,0.031,-0.026,0.083,0.029,0.115,0.029,-0.011,0.35,0,0,0.585,0,0,0.046,0.128,-0.403,0,0.075,0.007,-0.027,0.064,0.095,0.078,0.061,-0.107,-0.43,0.043,0
240223_일상검사_야_초_2-4-1_NG,0,0.01,0.012,0.008,0.01,0,0,0.129,0.012,0.309,0.13,-0.041,-0.144,-0.217,0.003,0.273,0.202,0.207,-0.024,0.139,0.038,0.156,-0.408,0,0.085,0.134,0.14,0.125,0.05,0.176,1.162,-0.443,0.034,0.004,-0.447,-0.231,0.005,0.043,0.027,-0.042,-0.065,0.03,-0.036,0.012,0.092,0.327,0,0,0.579,0,0,0.038,0.156,-0.408,0,0.092,0.009,-0.027,0.034,0.092,0.073,0.051,-0.365,1.084,0.034,0
240223_일상검사_야_초_2-6-1_NG,0,0.008,0.01,0.007,0.008,0,0,0.121,0.011,0.329,0.197,-0.035,-0.13,-0.207,0.004,0.286,0.17,0.2,-0.032,0.162,0.029,0.123,-0.41,0,0.062,0.115,0.128,0.109,0.078,0.083,-0.398,-0.22,0.05,0.053,-0.456,-0.66,0.023,0.063,0.038,-0.003,-0.066,0.017,-0.043,0.018,0.056,0.332,0,0,0.575,0,0,0.029,0.123,-0.41,0,0.094,0.009,0.039,0.077,0.087,0.087,0.069,-0.161,-0.457,0.05,0
240229_일상검사_야_중_1-1-1_NG,0,0,0,-0.004,-0.001,0,0,0.025,0.002,0.158,0.066,-0.066,-0.264,-0.067,-0.094,0.22,0.13,0.172,-0.142,0.111,-0.028,0.152,-0.404,0,0.033,0.157,0.036,0.13,-0.044,0.074,0.131,-0.008,0.019,-0.041,-0.456,-0.071,-0.027,-0.039,0.036,-0.069,-0.041,0.021,-0.009,0.021,-0.035,0.332,0,0,0.563,0,0,-0.028,0.152,-0.404,0,0.025,0.002,-0.104,0.048,0.079,0.049,0.014,0.066,0.058,0.019,0
240304_일상검사_야_중_1-4-1_NG,0,0.001,0.005,0.003,0.003,0,0,0.133,0.012,0,0.065,-0.04,-0.143,-0.032,0.006,0.224,0.157,0.18,-0.018,0.123,0.075,0.137,-0.398,0,0.143,0.14,0.131,0.119,0.068,0.096,0.345,-0.003,0.006,0.056,-0.428,-0.292,-0.052,0.07,0.007,-0.141,0.098,0.033,0.153,0.037,-0.018,0.335,0,0,0.575,0,0,0.075,0.137,-0.398,0,0.021,0.002,-0.236,0.044,0.089,0.058,-0.01,0.067,0.275,0.006,0
240304_일상검사_야_초_1-1-1_NG,0,0.001,0.003,-0.001,0.001,0,0,0.036,0.003,0.211,0.058,-0.017,-0.255,-0.054,-0.082,0.239,0.069,0.13,-0.14,0.152,-0.037,0.067,-0.417,0,-0.004,0.091,0.022,0.074,-0.034,0.04,0.079,0.091,0.027,-0.007,-0.381,-0.027,-0.021,-0.011,0.056,-0.044,0.037,0.03,0.049,0.031,0.014,0.352,0,0,0.55,0,0,-0.037,0.067,-0.417,0,0.043,0.004,-0.066,0.054,0.073,0.05,0.009,0.122,0.048,0.027,0
240304_일상검사_야_초_1-2-1_NG,0,-0.004,0.007,0.001,0.002,0,0,0.054,0.005,0.267,-0.004,-0.045,-0.249,-0.058,-0.067,0.244,0.12,0.174,-0.106,0.137,-0.004,0.12,-0.4,0,0.039,0.117,0.051,0.104,-0.037,0.124,0.183,-0.136,0.011,-0.012,-0.432,0.195,-0.022,-0.002,0.033,-0.039,0.025,0.04,0.037,0.039,0,0.29,0,0,0.473,0,0,-0.004,0.12,-0.4,0,0.041,0.004,-0.065,0.041,0.073,0.052,0.039,-0.079,0.125,0.011,0
240304_일상검사_야_초_1-4-1_NG,0,-0.004,0.008,-0.001,0.001,0,0,0.216,0.02,0.162,0.084,-0.046,-0.023,-0.084,0.103,0.268,0.039,0.201,0.017,0.158,0.172,0.109,-0.401,0,0.247,0.109,0.231,0.081,0.16,0.064,0.367,-0.173,-0.005,0.147,-0.347,-0.447,-0.028,0.179,-0.011,-0.092,0.078,0.033,0.109,0.029,-0.032,0.328,0,0,0.539,0,0,0.172,0.109,-0.401,0,0.033,0.003,-0.154,0.034,0.075,0.066,0.037,-0.109,0.303,-0.005,0
240304_일상검사_야_초_1-5-1_NG,0,0.002,0.005,0,0.002,0,0,0.131,0.012,0.173,0.041,-0.032,-0.134,0.014,-0.004,0.245,0.299,0.181,0.058,0.153,0.064,0.087,-0.432,0,0.118,0.075,0.118,0.071,0.076,0.145,0.278,0.002,0.001,0.067,-0.371,-0.119,-0.028,0.078,-0.005,-0.075,-0.027,0.048,0.007,0.042,0.005,0.303,0,0,0.518,0,0,0.064,0.087,-0.432,0,0.041,0.004,-0.183,0.045,0.053,0.056,0.016,0.046,0.233,0.001,0
240304_일상검사_야_초_1-6-1_NG,0,0.002,0.009,0.002,0.004,0,0,0.154,0.014,0.107,0.105,-0.009,-0.099,-0.006,0.043,0.264,0.114,0.173,0.021,0.185,0.112,0.064,-0.402,0,0.168,0.082,0.154,0.082,0.118,0.035,1.023,-0.046,0.014,0.088,-0.344,-0.203,-0.022,0.124,0.018,-0.077,-0.027,0.03,0.021,0.038,-0.015,0.355,0,0,0.558,0,0,0.112,0.064,-0.402,0,0.002,0,-0.19,0.012,0.087,0.048,0.034,-0.013,0.991,0.014,0
240304_일상검사_야_초_2-2-1_NG,0,0.006,0.01,0.002,0.006,0,0,0.047,0.004,0.192,0.062,-0.043,-0.243,-0.033,-0.075,0.235,0.151,0.147,-0.116,0.139,-0.027,0.106,-0.401,0,0.033,0.122,0.039,0.099,-0.021,0.063,0.201,0.204,0.031,-0.017,-0.336,0.052,-0.017,-0.017,0.045,-0.061,0,0.01,0.018,0.007,0.028,0.336,0,0,0.564,0,0,-0.027,0.106,-0.401,0,0.04,0.004,-0.159,0.051,0.071,0.051,0.01,0.256,0.149,0.031,0
240304_일상검사_야_초_2-3-1_NG,0,0.008,0.008,0.005,0.007,0,0,0.033,0.003,0.236,0.093,-0.064,-0.233,-0.052,-0.091,0.227,0.111,0.159,-0.136,0.127,-0.038,0.121,-0.409,0,0.024,0.13,0.026,0.105,-0.05,0.147,0.148,-0.147,0.025,-0.037,-0.314,0.126,-0.018,-0.032,0.044,-0.055,-0.016,0.008,-0.001,0.016,-0.009,0.337,0,0,0.562,0,0,-0.038,0.121,-0.409,0,0.043,0.004,-0.136,0.048,0.072,0.053,0.01,-0.088,0.089,0.025,0
240304_치수보정_야_중_1-4-1_NG,0,0.001,0.005,0.003,0.003,0,0,0.133,0.012,0,0.065,-0.04,-0.143,-0.032,0.006,0.224,0.157,0.18,-0.018,0.123,0.075,0.137,-0.398,0,0.143,0.14,0.131,0.119,0.068,0.096,0.345,-0.003,0.006,0.056,-0.428,-0.292,-0.052,0.07,0.007,-0.141,0.098,0.033,0.153,0.037,-0.018,0.335,0,0,0.575,0,0,0.075,0.137,-0.398,0,0.021,0.002,-0.236,0.044,0.089,0.058,-0.01,0.067,0.275,0.006,0
240307_일상검사_야_중_2-6-1_NG,0,0.009,0.01,0.005,0.008,0,0,0.124,0.012,0.036,0.051,-0.059,-0.175,-0.026,0.004,0.212,0.118,0.164,-0.032,0.12,0.06,0.109,-0.418,0,0.114,0.111,0.123,0.099,0.05,0.101,0.21,-0.021,-0.002,0.054,-0.415,-0.129,-0.059,0.056,0.002,-0.13,-0.023,0.017,0,0.011,0.058,0.315,0,0,0.556,0,0,0.06,0.109,-0.418,0,0.025,0.002,-0.203,0.045,0.067,0.046,-0.023,0.036,0.154,-0.002,0
240307_일상검사_야_초_1-3-1_NG,0,0,0.002,0.003,0.002,0,0,0.015,0.001,0.036,0.031,-0.055,-0.242,-0.036,-0.088,0.231,0.14,0.162,-0.109,0.114,-0.013,0.113,-0.444,0,0.021,0.088,0.043,0.093,-0.035,0.111,0.186,-0.06,-0.004,-0.028,-0.4,-0.004,-0.025,-0.006,0.013,-0.025,0.004,0.025,0.01,0.026,0.006,0.323,0,0,0.479,0,0,-0.013,0.113,-0.444,0,0.023,0.002,-0.155,0.03,0.044,0.053,0.032,-0.006,0.132,-0.004,0
240307_일상검사_야_초_1-4-1_NG,0,-0.001,0,-0.005,-0.002,0,0,0.041,0.004,-0.136,0.01,-0.055,-0.234,-0.024,-0.075,0.21,0.098,0.172,-0.115,0.093,0,0.141,-0.435,0,0.052,0.116,0.063,0.102,-0.012,0.141,0.259,0.132,-0.001,-0.016,-0.379,0.016,-0.045,-0.013,0.008,-0.086,0.141,0.031,0.183,0.021,0.009,0.289,0,0,0.485,0,0,0,0.141,-0.435,0,0.019,0.002,-0.229,0.042,0.056,0.046,-0.006,0.203,0.188,-0.001,0
240308_일상검사_야_초_1-4-1_NG,0,0.004,0.004,-0.002,0.002,0,0,0.087,0.008,0.129,0.07,-0.055,-0.196,0,-0.058,0.209,0.107,0.163,-0.104,0.089,0.016,0.155,-0.415,0,0.059,0.146,0.079,0.135,-0.008,0.122,0.211,-0.093,0.006,0,-0.404,-0.949,-0.038,0.027,0.014,-0.124,0.09,0.022,0.127,0.015,0.013,0.365,0,0,0.595,0,0,0.016,0.155,-0.415,0,0.032,0.003,-0.187,0.049,0.076,0.077,-0.019,-0.017,0.134,0.006,0
240308_일상검사_야_초_1-5-1_NG,0,0.003,0.004,0.001,0.003,0,0,0.149,0.014,0.107,0.082,-0.053,-0.143,-0.013,-0.021,0.199,0.154,0.184,-0.04,0.081,0.069,0.188,-0.388,0,0.135,0.188,0.132,0.164,0.052,0.099,0.411,0.029,0.004,0.028,-0.385,-0.181,-0.072,0.034,0.004,-0.193,0.039,0.02,0.109,0.019,0.005,0.361,0,0,0.591,0,0,0.069,0.188,-0.388,0,0.021,0.002,-0.151,0.042,0.1,0.048,-0.042,0.125,0.314,0.004,0
240308_일상검사_야_초_1-6-1_NG,0,0.003,0.005,0.003,0.003,0,0,0.014,0.001,0.163,0.085,-0.055,-0.246,-0.082,-0.094,0.236,0.099,0.183,-0.145,0.134,-0.04,0.125,-0.408,0,0.007,0.127,0.022,0.103,-0.045,0.12,0.288,-0.008,0.013,-0.041,-0.378,0.181,-0.01,-0.037,0.037,-0.012,0.025,0.013,0.063,0.018,0.023,0.357,0,0,0.589,0,0,-0.04,0.125,-0.408,0,0.044,0.004,-0.126,0.047,0.065,0.051,0.047,0.048,0.232,0.013,0
240315_일상검사_주_초_1-3-1_NG,0,-0.001,0.001,-0.002,-0.001,0,0,0.128,0.012,0.112,0.085,-0.027,-0.149,-0.016,0.007,0.276,0.161,0.163,0.015,0.177,0.08,0.053,-0.411,0,0.121,0.055,0.135,0.05,0.096,0.1,0.455,-0.003,-0.003,0.083,0.006,-0.045,-0.013,0.109,0.008,-0.025,-0.001,0.025,0.017,0.02,-0.013,0.322,0,0,0.549,0,0,0.08,0.053,-0.411,0,0.033,0.003,-0.22,0.031,0.06,0.057,0.043,0.027,0.425,-0.003,0
240315_일상검사_주_초_1-6-1_NG,0,0.004,0.007,0,0.004,0,0,0.002,0,0.124,0.028,-0.068,-0.309,-0.078,-0.11,0.261,0.14,0.182,-0.125,0.148,-0.039,0.123,-0.399,0,0.015,0.122,-0.056,0.109,-0.041,0.098,0.292,-0.197,0.021,-0.043,-0.349,0.335,0.001,-0.043,0.05,0.007,-0.015,0.024,0.009,0.018,0.003,0.328,0,0,0.559,0,0,-0.039,0.123,-0.399,0,0.041,0.004,-0.133,0.043,0.073,0.044,0.056,-0.137,0.232,0.021,0
240318_일상검사_주_초_1-4-1_NG,0,0.004,0.003,-0.004,0.001,0,0,0.032,0.003,0.156,0.027,-0.079,-0.293,-0.1,-0.106,0.222,0.126,0.196,-0.144,0.094,-0.037,0.184,-0.399,0,0.037,0.166,0.035,0.14,-0.057,0.126,0.238,-0.24,0.014,-0.06,-0.406,0.061,-0.035,-0.054,0.026,-0.077,0.034,0.036,0.094,0.022,-0.009,0.356,0,0,0.608,0,0,-0.037,0.184,-0.399,0,0.039,0.004,-0.192,0.05,0.08,0.056,0.01,-0.152,0.15,0.014,0
240320_일상검사주_초_1-1-1_NG,0,0.002,-0.001,-0.009,-0.003,0,0,0.039,0.004,0.16,0.106,-0.024,-0.261,-0.032,-0.093,0.25,0.14,0.159,-0.085,0.158,-0.023,0.072,-0.403,0,0.011,0.092,0.026,0.076,-0.021,0.121,0.192,-0.178,0.023,-0.013,-0.412,0.134,-0.022,-0.02,0.053,-0.047,0.07,0.043,0.101,0.056,0.027,0.301,0,0,0.54,0,0,-0.023,0.072,-0.403,0,0.027,0.002,-0.2,0.038,0.074,0.031,0.009,-0.142,0.156,0.023,0
240321_일상검사_주_초_1-3-1_NG,0,0.021,0.017,0.008,0.015,0,0,0.16,0.015,0.087,0.083,-0.018,-0.118,0.007,0.014,0.251,0.067,0.172,0.005,0.146,0.102,0.085,-0.415,0,0.156,0.077,0.149,0.077,0.126,0.11,0.426,0.019,-0.007,0.098,-0.243,-0.178,-0.048,0.106,0,-0.106,-0.025,0.048,0.014,0.051,-0.012,0.31,0,0,0.554,0,0,0.102,0.085,-0.415,0,0.026,0.002,-0.252,0.039,0.066,0.047,-0.007,0.07,0.375,-0.007,0
